text,label
Can you share product pricing?,sales
I need help resetting password,support
My order arrived late,complaint
Loved the new update,feedback
Interested in enterprise pricing,sales
App keeps crashing,support
Very disappointed with service,complaint
Service was excellent,feedback
I want to upgrade my plan,sales
Unable to login to my account,support
Very disappointed with service,complaint
Loved the new update,feedback
Can you share product pricing?,sales
I need help resetting password,support
Very disappointed with service,complaint
Loved the new update,feedback
I want to upgrade my plan,sales
I need help resetting password,support
Very disappointed with service,complaint
Loved the new update,feedback
I want to upgrade my plan,sales
Unable to login to my account,support
Refund not processed,complaint
Loved the new update,feedback
Can you share product pricing?,sales
App keeps crashing,support
My order arrived late,complaint
Great product experience,feedback
Can you share product pricing?,sales
App keeps crashing,support
Refund not processed,complaint
Loved the new update,feedback
Can you share product pricing?,sales
I need help resetting password,support
Refund not processed,complaint
Service was excellent,feedback
Can you share product pricing?,sales
App keeps crashing,support
Refund not processed,complaint
Service was excellent,feedback
Can you share product pricing?,sales
I need help resetting password,support
Very disappointed with service,complaint
Great product experience,feedback
Can you share product pricing?,sales
I need help resetting password,support
Refund not processed,complaint
Loved the new update,feedback
Interested in enterprise pricing,sales
Unable to login to my account,support
Refund not processed,complaint
Service was excellent,feedback
Interested in enterprise pricing,sales
Unable to login to my account,support
Refund not processed,complaint
Service was excellent,feedback
Interested in enterprise pricing,sales
App keeps crashing,support
My order arrived late,complaint
Service was excellent,feedback
Can you share product pricing?,sales
Unable to login to my account,support
Refund not processed,complaint
Service was excellent,feedback
I want to upgrade my plan,sales
I need help resetting password,support
Refund not processed,complaint
Great product experience,feedback
Can you share product pricing?,sales
App keeps crashing,support
Very disappointed with service,complaint
Great product experience,feedback
Interested in enterprise pricing,sales
I need help resetting password,support
My order arrived late,complaint
Great product experience,feedback
Interested in enterprise pricing,sales
Unable to login to my account,support
My order arrived late,complaint
Loved the new update,feedback
Can you share product pricing?,sales
Unable to login to my account,support
Refund not processed,complaint
Loved the new update,feedback
Can you share product pricing?,sales
I need help resetting password,support
Very disappointed with service,complaint
Loved the new update,feedback
I want to upgrade my plan,sales
App keeps crashing,support
Very disappointed with service,complaint
Loved the new update,feedback
Interested in enterprise pricing,sales
I need help resetting password,support
Very disappointed with service,complaint
Loved the new update,feedback
Can you share product pricing?,sales
Unable to login to my account,support
My order arrived late,complaint
Loved the new update,feedback
Can you share product pricing?,sales
Unable to login to my account,support
Refund not processed,complaint
Great product experience,feedback
Interested in enterprise pricing,sales
Unable to login to my account,support
My order arrived late,complaint
Loved the new update,feedback
Can you share product pricing?,sales
I need help resetting password,support
Refund not processed,complaint
Loved the new update,feedback
Can you share product pricing?,sales
Unable to login to my account,support
